,"AL,01,001,Autauga County,H1"
1355,"MN,27,085,McLeod County,H1"
1356,"MN,27,087,Mahnomen County,H1"
1357,"MN,27,089,Marshall County,H1"
1358,"MN,27,091,Martin County,H1"
1359,"MN,27,093,Meeker County,H1"
1360,"MN,27,095,Mille Lacs County,H1"
1361,"MN,27,097,Morrison County,H1"
1362,"MN,27,099,Mower County,H1"
1363,"MN,27,101,Murray County,H1"
1364,"MN,27,103,Nicollet County,H1"
1365,"MN,27,105,Nobles County,H1"
1366,"MN,27,107,Norman County,H1"
1367,"MN,27,109,Olmsted County,H1"
1368,"MN,27,111,Otter Tail County,H1"
1369,"MN,27,113,Pennington County,H1"
1370,"MN,27,115,Pine County,H1"
1371,"MN,27,117,Pipestone County,H1"
1372,"MN,27,119,Polk County,H1"
1373,"MN,27,121,Pope County,H1"
1374,"MN,27,123,Ramsey County,H1"
1375,"MN,27,125,Red Lake County,H1"
1376,"MN,27,127,Redwood County,H1"
1377,"MN,27,129,Renville County,H1"
1378,"MN,27,131,Rice County,H1"
1379,"MN,27,133,Rock County,H1"
1380,"MN,27,135,Roseau County,H1"
1381,"MN,27,137,St. Louis County,H1"
1382,"MN,27,139,Scott County,H1"
1383,"MN,27,141,Sherburne County,H1"
1384,"MN,27,143,Sibley County,H1"
1385,"MN,27,145,Stearns County,H1"
1386,"MN,27,147,Steele County,H1"
1387,"MN,27,149,Stevens County,H1"
1388,"MN,27,151,Swift County,H1"
1389,"MN,27,153,Todd County,H1"
1390,"MN,27,155,Traverse County,H1"
1391,"MN,27,157,Wabasha County,H1"
1392,"MN,27,159,Wadena County,H1"
1393,"MN,27,161,Waseca County,H1"
1394,"MN,27,163,Washington County,H1"
1395,"MN,27,165,Watonwan County,H1"
1396,"MN,27,167,Wilkin County,H1"
1397,"MN,27,169,Winona County,H1"
1398,"MN,27,171,Wright County,H1"
1399,"MN,27,173,Yellow Medicine County,H1"
1400,"MS,28,001,Adams County,H1"
1401,"MS,28,003,Alcorn County,H1"
1402,"MS,28,005,Amite County,H1"
1403,"MS,28,007,Attala County,H1"
1404,"MS,28,009,Benton County,H1"
1405,"MS,28,011,Bolivar County,H1"
1406,"MS,28,013,Calhoun County,H1"
1407,"MS,28,015,Carroll County,H1"
1408,"MS,28,017,Chickasaw County,H1"
1409,"MS,28,019,Choctaw County,H1"
1410,"MS,28,021,Claiborne County,H1"
1411,"MS,28,023,Clarke County,H1"
1412,"MS,28,025,Clay County,H1"
1413,"MS,28,027,Coahoma County,H1"
1414,"MS,28,029,Copiah County,H1"
1415,"MS,28,031,Covington County,H1"
1416,"MS,28,033,DeSoto County,H1"
1417,"MS,28,035,Forrest County,H1"
1418,"MS,28,037,Franklin County,H1"
1419,"MS,28,039,George County,H1"
1420,"MS,28,041,Greene County,H1"
1421,"MS,28,043,Grenada County,H1"
1422,"MS,28,045,Hancock County,H1"
1423,"MS,28,047,Harrison County,H1"
1424,"MS,28,049,Hinds County,H1"
1425,"MS,28,051,Holmes County,H1"
1426,"MS,28,053,Humphreys County,H1"
1427,"MS,28,055,Issaquena County,H1"
1428,"MS,28,057,Itawamba County,H1"
1429,"MS,28,059,Jackson County,H1"
1430,"MS,28,061,Jasper County,H1"
1431,"MS,28,063,Jefferson County,H1"
1432,"MS,28,065,Jefferson Davis County,H1"
1433,"MS,28,067,Jones County,H1"
1434,"MS,28,069,Kemper County,H1"
1435,"MS,28,071,Lafayette County,H1"
1436,"MS,28,073,Lamar County,H1"
1437,"MS,28,075,Lauderdale County,H1"
1438,"MS,28,077,Lawrence County,H1"
1439,"MS,28,079,Leake County,H1"
1440,"MS,28,081,Lee County,H1"
1441,"MS,28,083,Leflore County,H1"
1442,"MS,28,085,Lincoln County,H1"
1443,"MS,28,087,Lowndes County,H1"
1444,"MS,28,089,Madison County,H1"
1445,"MS,28,091,Marion County,H1"
1446,"MS,28,093,Marshall County,H1"
1447,"MS,28,095,Monroe County,H1"
1448,"MS,28,097,Montgomery County,H1"
1449,"MS,28,099,Neshoba County,H1"
1450,"MS,28,101,Newton County,H1"
1451,"MS,28,103,Noxubee County,H1"
1452,"MS,28,105,Oktibbeha County,H1"
1453,"MS,28,107,Panola County,H1"
1454,"MS,28,109,Pearl River County,H1"
1455,"MS,28,111,Perry County,H1"
1456,"MS,28,113,Pike County,H1"
1457,"MS,28,115,Pontotoc County,H1"
1458,"MS,28,117,Prentiss County,H1"
1459,"MS,28,119,Quitman County,H1"
1460,"MS,28,121,Rankin County,H1"
1461,"MS,28,123,Scott County,H1"
1462,"MS,28,125,Sharkey County,H1"
1463,"MS,28,127,Simpson County,H1"
1464,"MS,28,129,Smith County,H1"
1465,"MS,28,131,Stone County,H1"
1466,"MS,28,133,Sunflower County,H1"
1467,"MS,28,135,Tallahatchie County,H1"
1468,"MS,28,137,Tate County,H1"
1469,"MS,28,139,Tippah County,H1"
1470,"MS,28,141,Tishomingo County,H1"
1471,"MS,28,143,Tunica County,H1"
1472,"MS,28,145,Union County,H1"
1473,"MS,28,147,Walthall County,H1"
1474,"MS,28,149,Warren County,H1"
1475,"MS,28,151,Washington County,H1"
1476,"MS,28,153,Wayne County,H1"
1477,"MS,28,155,Webster County,H1"
1478,"MS,28,157,Wilkinson County,H1"
1479,"MS,28,159,Winston County,H1"
1480,"MS,28,161,Yalobusha County,H1"
1481,"MS,28,163,Yazoo County,H1"
1482,"MO,29,001,Adair County,H1"
1483,"MO,29,003,Andrew County,H1"
1484,"MO,29,005,Atchison County,H1"
1485,"MO,29,007,Audrain County,H1"
1486,"MO,29,009,Barry County,H1"
1487,"MO,29,011,Barton County,H1"
1488,"MO,29,013,Bates County,H1"
1489,"MO,29,015,Benton County,H1"
1490,"MO,29,017,Bollinger County,H1"
1491,"MO,29,019,Boone County,H1"
1492,"MO,29,021,Buchanan County,H1"
1493,"MO,29,023,Butler County,H1"
1494,"MO,29,025,Caldwell County,H1"
1495,"MO,29,027,Callaway County,H1"
1496,"MO,29,029,Camden County,H1"
1497,"MO,29,031,Cape Girardeau County,H1"
1498,"MO,29,033,Carroll County,H1"
1499,"MO,29,035,Carter County,H1"
1500,"MO,29,037,Cass County,H1"
1501,"MO,29,039,Cedar County,H1"
1502,"MO,29,041,Chariton County,H1"
1503,"MO,29,043,Christian County,H1"
1504,"MO,29,045,Clark County,H1"
1505,"MO,29,047,Clay County,H1"
1506,"MO,29,049,Clinton County,H1"
1507,"MO,29,051,Cole County,H1"
1508,"MO,29,053,Cooper County,H1"
1509,"MO,29,055,Crawford County,H1"
1510,"MO,29,057,Dade County,H1"
1511,"MO,29,059,Dallas County,H1"
1512,"MO,29,061,Daviess County,H1"
1513,"MO,29,063,DeKalb County,H1"
1514,"MO,29,065,Dent County,H1"
1515,"MO,29,067,Douglas County,H1"
1516,"MO,29,069,Dunklin County,H1"
1517,"MO,29,071,Franklin County,H1"
1518,"MO,29,073,Gasconade County,H1"
1519,"MO,29,075,Gentry County,H1"
1520,"MO,29,077,Greene County,H1"
1521,"MO,29,079,Grundy County,H1"
1522,"MO,29,081,Harrison County,H1"
1523,"MO,29,083,Henry County,H1"
1524,"MO,29,085,Hickory County,H1"
1525,"MO,29,087,Holt County,H1"
1526,"MO,29,089,Howard County,H1"
1527,"MO,29,091,Howell County,H1"
1528,"MO,29,093,Iron County,H1"
1529,"MO,29,095,Jackson County,H1"
1530,"MO,29,097,Jasper County,H1"
1531,"MO,29,099,Jefferson County,H1"
1532,"MO,29,101,Johnson County,H1"
1533,"MO,29,103,Knox County,H1"
1534,"MO,29,105,Laclede County,H1"
1535,"MO,29,107,Lafayette County,H1"
1536,"MO,29,109,Lawrence County,H1"
1537,"MO,29,111,Lewis County,H1"
1538,"MO,29,113,Lincoln County,H1"
1539,"MO,29,115,Linn County,H1"
1540,"MO,29,117,Livingston County,H1"
1541,"MO,29,119,McDonald County,H1"
1542,"MO,29,121,Macon County,H1"
1543,"MO,29,123,Madison County,H1"
1544,"MO,29,125,Maries County,H1"
1545,"MO,29,127,Marion County,H1"
1546,"MO,29,129,Mercer County,H1"
1547,"MO,29,131,Miller County,H1"
1548,"MO,29,133,Mississippi County,H1"
1549,"MO,29,135,Moniteau County,H1"
1550,"MO,29,137,Monroe County,H1"
1551,"MO,29,139,Montgomery County,H1"
1552,"MO,29,141,Morgan County,H1"
1553,"MO,29,143,New Madrid County,H1"
1554,"MO,29,145,Newton County,H1"
1555,"MO,29,147,Nodaway County,H1"
1556,"MO,29,149,Oregon County,H1"
1557,"MO,29,151,Osage County,H1"
1558,"MO,29,153,Ozark County,H1"
1559,"MO,29,155,Pemiscot County,H1"
1560,"MO,29,157,Perry County,H1"
1561,"MO,29,159,Pettis County,H1"
1562,"MO,29,161,Phelps County,H1"
1563,"MO,29,163,Pike County,H1"
1564,"MO,29,165,Platte County,H1"
1565,"MO,29,167,Polk County,H1"
1566,"MO,29,169,Pulaski County,H1"
1567,"MO,29,171,Putnam County,H1"
1568,"MO,29,173,Ralls County,H1"
1569,"MO,29,175,Randolph County,H1"
1570,"MO,29,177,Ray County,H1"
1571,"MO,29,179,Reynolds County,H1"
1572,"MO,29,181,Ripley County,H1"
1573,"MO,29,183,St. Charles County,H1"
1574,"MO,29,185,St. Clair County,H1"
1575,"MO,29,186,Ste. Genevieve County,H1"
1576,"MO,29,187,St. Francois County,H1"
1577,"MO,29,189,St. Louis County,H1"
1578,"MO,29,195,Saline County,H1"
1579,"MO,29,197,Schuyler County,H1"
1580,"MO,29,199,Scotland County,H1"
1581,"MO,29,201,Scott County,H1"
1582,"MO,29,203,Shannon County,H1"
1583,"MO,29,205,Shelby County,H1"
1584,"MO,29,207,Stoddard County,H1"
1585,"MO,29,209,Stone County,H1"
1586,"MO,29,211,Sullivan County,H1"
1587,"MO,29,213,Taney County,H1"
1588,"MO,29,215,Texas County,H1"
1589,"MO,29,217,Vernon County,H1"
1590,"MO,29,219,Warren County,H1"
1591,"MO,29,221,Washington County,H1"
1592,"MO,29,223,Wayne County,H1"
1593,"MO,29,225,Webster County,H1"
1594,"MO,29,227,Worth County,H1"
1595,"MO,29,229,Wright County,H1"
1596,"MO,29,510,St. Louis city,C7"
1597,"MT,30,001,Beaverhead County,H1"
1598,"MT,30,003,Big Horn County,H1"
1599,"MT,30,005,Blaine County,H1"
1600,"MT,30,007,Broadwater County,H1"
1601,"MT,30,009,Carbon County,H1"
1602,"MT,30,011,Carter County,H1"
1603,"MT,30,013,Cascade County,H1"
1604,"MT,30,015,Chouteau County,H1"
1605,"MT,30,017,Custer County,H1"
1606,"MT,30,019,Daniels County,H1"
1607,"MT,30,021,Dawson County,H1"
1608,"MT,30,023,Deer Lodge County,H6"
1609,"MT,30,025,Fallon County,H1"
1610,"MT,30,027,Fergus County,H1"
1611,"MT,30,029,Flathead County,H1"
1612,"MT,30,031,Gallatin County,H1"
1613,"MT,30,033,Garfield County,H1"
1614,"MT,30,035,Glacier County,H1"
1615,"MT,30,037,Golden Valley County,H1"
1616,"MT,30,039,Granite County,H1"
1617,"MT,30,041,Hill County,H1"
1618,"MT,30,043,Jefferson County,H1"
1619,"MT,30,045,Judith Basin County,H1"
1620,"MT,30,047,Lake County,H1"
1621,"MT,30,049,Lewis and Clark County,H1"
1622,"MT,30,051,Liberty County,H1"
1623,"MT,30,053,Lincoln County,H1"
1624,"MT,30,055,McCone County,H1"
1625,"MT,30,057,Madison County,H1"
1626,"MT,30,059,Meagher County,H1"
1627,"MT,30,061,Mineral County,H1"
1628,"MT,30,063,Missoula County,H1"
1629,"MT,30,065,Musselshell County,H1"
1630,"MT,30,067,Park County,H1"
1631,"MT,30,069,Petroleum County,H1"
1632,"MT,30,071,Phillips County,H1"
1633,"MT,30,073,Pondera County,H1"
1634,"MT,30,075,Powder River County,H1"
1635,"MT,30,077,Powell County,H1"
1636,"MT,30,079,Prairie County,H1"
1637,"MT,30,081,Ravalli County,H1"
1638,"MT,30,083,Richland County,H1"
1639,"MT,30,085,Roosevelt County,H1"
1640,"MT,30,087,Rosebud County,H1"
1641,"MT,30,089,Sanders County,H1"
1642,"MT,30,091,Sheridan County,H1"
1643,"MT,30,093,Silver Bow County,H6"
1644,"MT,30,095,Stillwater County,H1"
1645,"MT,30,097,Sweet Grass County,H1"
1646,"MT,30,099,Teton County,H1"
1647,"MT,30,101,Toole County,H1"
1648,"MT,30,103,Treasure County,H1"
1649,"MT,30,105,Valley County,H1"
1650,"MT,30,107,Wheatland County,H1"
1651,"MT,30,109,Wibaux County,H1"
1652,"MT,30,111,Yellowstone County,H1"
1653,"NE,31,001,Adams County,H1"
1654,"NE,31,003,Antelope County,H1"
1655,"NE,31,005,Arthur County,H1"
1656,"NE,31,007,Banner County,H1"
1657,"NE,31,009,Blaine County,H1"
1658,"NE,31,011,Boone County,H1"
1659,"NE,31,013,Box Butte County,H1"
1660,"NE,31,015,Boyd County,H1"
1661,"NE,31,017,Brown County,H1"
1662,"NE,31,019,Buffalo County,H1"
1663,"NE,31,021,Burt County,H1"
1664,"NE,31,023,Butler County,H1"
1665,"NE,31,025,Cass County,H1"
1666,"NE,31,027,Cedar County,H1"
1667,"NE,31,029,Chase County,H1"
1668,"NE,31,031,Cherry County,H1"
1669,"NE,31,033,Cheyenne County,H1"
1670,"NE,31,035,Clay County,H1"
1671,"NE,31,037,Colfax County,H1"
1672,"NE,31,039,Cuming County,H1"
1673,"NE,31,041,Custer County,H1"
1674,"NE,31,043,Dakota County,H1"
1675,"NE,31,045,Dawes County,H1"
1676,"NE,31,047,Dawson County,H1"
1677,"NE,31,049,Deuel County,H1"
1678,"NE,31,051,Dixon County,H1"
1679,"NE,31,053,Dodge County,H1"
1680,"NE,31,055,Douglas County,H1"
1681,"NE,31,057,Dundy County,H1"
1682,"NE,31,059,Fillmore County,H1"
1683,"NE,31,061,Franklin County,H1"
1684,"NE,31,063,Frontier County,H1"
1685,"NE,31,065,Furnas County,H1"
1686,"NE,31,067,Gage County,H1"
1687,"NE,31,069,Garden County,H1"
1688,"NE,31,071,Garfield County,H1"
1689,"NE,31,073,Gosper County,H1"
1690,"NE,31,075,Grant County,H1"
1691,"NE,31,077,Greeley County,H1"
1692,"NE,31,079,Hall County,H1"
1693,"NE,31,081,Hamilton County,H1"
1694,"NE,31,083,Harlan County,H1"
1695,"NE,31,085,Hayes County,H1"
1696,"NE,31,087,Hitchcock County,H1"
1697,"NE,31,089,Holt County,H1"
1698,"NE,31,091,Hooker County,H1"
1699,"NE,31,093,Howard County,H1"
1700,"NE,31,095,Jefferson County,H1"
1701,"NE,31,097,Johnson County,H1"
1702,"NE,31,099,Kearney County,H1"
1703,"NE,31,101,Keith County,H1"
1704,"NE,31,103,Keya Paha County,H1"
1705,"NE,31,105,Kimball County,H1"
1706,"NE,31,107,Knox County,H1"
1707,"NE,31,109,Lancaster County,H1"
1708,"NE,31,111,Lincoln County,H1"
1709,"NE,31,113,Logan County,H1"
1710,"NE,31,115,Loup County,H1"
1711,"NE,31,117,McPherson County,H1"
1712,"NE,31,119,Madison County,H1"
1713,"NE,31,121,Merrick County,H1"
1714,"NE,31,123,Morrill County,H1"
1715,"NE,31,125,Nance County,H1"
1716,"NE,31,127,Nemaha County,H1"
1717,"NE,31,129,Nuckolls County,H1"
1718,"NE,31,131,Otoe County,H1"
1719,"NE,31,133,Pawnee County,H1"
1720,"NE,31,135,Perkins County,H1"
1721,"NE,31,137,Phelps County,H1"
1722,"NE,31,139,Pierce County,H1"
1723,"NE,31,141,Platte County,H1"
1724,"NE,31,143,Polk County,H1"
1725,"NE,31,145,Red Willow County,H1"
1726,"NE,31,147,Richardson County,H1"
1727,"NE,31,149,Rock County,H1"
1728,"NE,31,151,Saline County,H1"
1729,"NE,31,153,Sarpy County,H1"
1730,"NE,31,155,Saunders County,H1"
1731,"NE,31,157,Scotts Bluff County,H1"
1732,"NE,31,159,Seward County,H1"
1733,"NE,31,161,Sheridan County,H1"
1734,"NE,31,163,Sherman County,H1"
1735,"NE,31,165,Sioux County,H1"
1736,"NE,31,167,Stanton County,H1"
1737,"NE,31,169,Thayer County,H1"
1738,"NE,31,171,Thomas County,H1"
1739,"NE,31,173,Thurston County,H1"
1740,"NE,31,175,Valley County,H1"
1741,"NE,31,177,Washington County,H1"
1742,"NE,31,179,Wayne County,H1"
1743,"NE,31,181,Webster County,H1"
1744,"NE,31,183,Wheeler County,H1"
1745,"NE,31,185,York County,H1"
1746,"NV,32,001,Churchill County,H1"
1747,"NV,32,003,Clark County,H1"
1748,"NV,32,005,Douglas County,H1"
1749,"NV,32,007,Elko County,H1"
1750,"NV,32,009,Esmeralda County,H1"
1751,"NV,32,011,Eureka County,H1"
1752,"NV,32,013,Humboldt County,H1"
1753,"NV,32,015,Lander County,H1"
1754,"NV,32,017,Lincoln County,H1"
1755,"NV,32,019,Lyon County,H1"
1756,"NV,32,021,Mineral County,H1"
1757,"NV,32,023,Nye County,H1"
1758,"NV,32,027,Pershing County,H1"
1759,"NV,32,029,Storey County,H1"
1760,"NV,32,031,Washoe County,H1"
1761,"NV,32,033,White Pine County,H1"
1762,"NV,32,510,Carson City,C7"
1763,"NH,33,001,Belknap County,H1"
1764,"NH,33,003,Carroll County,H1"
1765,"NH,33,005,Cheshire County,H1"
1766,"NH,33,007,Coos County,H1"
1767,"NH,33,009,Grafton County,H1"
1768,"NH,33,011,Hillsborough County,H1"
1769,"NH,33,013,Merrimack County,H1"
1770,"NH,33,015,Rockingham County,H1"
1771,"NH,33,017,Strafford County,H1"
1772,"NH,33,019,Sullivan County,H1"
1773,"NJ,34,001,Atlantic County,H1"
1774,"NJ,34,003,Bergen County,H1"
1775,"NJ,34,005,Burlington County,H1"
1776,"NJ,34,007,Camden County,H1"
1777,"NJ,34,009,Cape May County,H1"
1778,"NJ,34,011,Cumberland County,H1"
1779,"NJ,34,013,Essex County,H1"
1780,"NJ,34,015,Gloucester County,H1"
1781,"NJ,34,017,Hudson County,H1"
1782,"NJ,34,019,Hunterdon County,H1"
1783,"NJ,34,021,Mercer County,H1"
1784,"NJ,34,023,Middlesex County,H1"
1785,"NJ,34,025,Monmouth County,H1"
1786,"NJ,34,027,Morris County,H1"
1787,"NJ,34,029,Ocean County,H1"
1788,"NJ,34,031,Passaic County,H1"
1789,"NJ,34,033,Salem County,H1"
1790,"NJ,34,035,Somerset County,H1"
1791,"NJ,34,037,Sussex County,H1"
1792,"NJ,34,039,Union County,H1"
1793,"NJ,34,041,Warren County,H1"
1794,"NM,35,001,Bernalillo County,H1"
1795,"NM,35,003,Catron County,H1"
1796,"NM,35,005,Chaves County,H1"
1797,"NM,35,006,Cibola County,H1"
1798,"NM,35,007,Colfax County,H1"
1799,"NM,35,009,Curry County,H1"
1800,"NM,35,011,De Baca County,H1"
1801,"NM,35,013,Dona Ana County,H1"
1802,"NM,35,015,Eddy County,H1"
1803,"NM,35,017,Grant County,H1"
1804,"NM,35,019,Guadalupe County,H1"
1805,"NM,35,021,Harding County,H1"
1806,"NM,35,023,Hidalgo County,H1"
1807,"NM,35,025,Lea County,H1"
1808,"NM,35,027,Lincoln County,H1"
1809,"NM,35,028,Los Alamos County,H1"
1810,"NM,35,029,Luna County,H1"
1811,"NM,35,031,McKinley County,H1"
1812,"NM,35,033,Mora County,H1"
1813,"NM,35,035,Otero County,H1"
1814,"NM,35,037,Quay County,H1"
1815,"NM,35,039,Rio Arriba County,H1"
1816,"NM,35,041,Roosevelt County,H1"
1817,"NM,35,043,Sandoval County,H1"
1818,"NM,35,045,San Juan County,H1"
1819,"NM,35,047,San Miguel County,H1"
1820,"NM,35,049,Santa Fe County,H1"
1821,"NM,35,051,Sierra County,H1"
1822,"NM,35,053,Socorro County,H1"
1823,"NM,35,055,Taos County,H1"
1824,"NM,35,057,Torrance County,H1"
1825,"NM,35,059,Union County,H1"
1826,"NM,35,061,Valencia County,H1"
1827,"NY,36,001,Albany County,H1"
1828,"NY,36,003,Allegany County,H1"
1829,"NY,36,005,Bronx County,H6"
1830,"NY,36,007,Broome County,H1"
1831,"NY,36,009,Cattaraugus County,H1"
1832,"NY,36,011,Cayuga County,H1"
1833,"NY,36,013,Chautauqua County,H1"
1834,"NY,36,015,Chemung County,H1"
1835,"NY,36,017,Chenango County,H1"
1836,"NY,36,019,Clinton County,H1"
1837,"NY,36,021,Columbia County,H1"
1838,"NY,36,023,Cortland County,H1"
1839,"NY,36,025,Delaware County,H1"
1840,"NY,36,027,Dutchess County,H1"
1841,"NY,36,029,Erie County,H1"
1842,"NY,36,031,Essex County,H1"
1843,"NY,36,033,Franklin County,H1"
1844,"NY,36,035,Fulton County,H1"
1845,"NY,36,037,Genesee County,H1"
1846,"NY,36,039,Greene County,H1"
1847,"NY,36,041,Hamilton County,H1"
1848,"NY,36,043,Herkimer County,H1"
1849,"NY,36,045,Jefferson County,H1"
1850,"NY,36,047,Kings County,H6"
1851,"NY,36,049,Lewis County,H1"
1852,"NY,36,051,Livingston County,H1"
1853,"NY,36,053,Madison County,H1"
1854,"NY,36,055,Monroe County,H1"
1855,"NY,36,057,Montgomery County,H1"
1856,"NY,36,059,Nassau County,H1"
1857,"NY,36,061,New York County,H6"
1858,"NY,36,063,Niagara County,H1"
1859,"NY,36,065,Oneida County,H1"
1860,"NY,36,067,Onondaga County,H1"
1861,"NY,36,069,Ontario County,H1"
1862,"NY,36,071,Orange County,H1"
1863,"NY,36,073,Orleans County,H1"
1864,"NY,36,075,Oswego County,H1"
1865,"NY,36,077,Otsego County,H1"
1866,"NY,36,079,Putnam County,H1"
1867,"NY,36,081,Queens County,H6"
1868,"NY,36,083,Rensselaer County,H1"
1869,"NY,36,085,Richmond County,H6"
1870,"NY,36,087,Rockland County,H1"
1871,"NY,36,089,St. Lawrence County,H1"
1872,"NY,36,091,Saratoga County,H1"
1873,"NY,36,093,Schenectady County,H1"
1874,"NY,36,095,Schoharie County,H1"
1875,"NY,36,097,Schuyler County,H1"
1876,"NY,36,099,Seneca County,H1"
1877,"NY,36,101,Steuben County,H1"
1878,"NY,36,103,Suffolk County,H1"
1879,"NY,36,105,Sullivan County,H1"
1880,"NY,36,107,Tioga County,H1"
1881,"NY,36,109,Tompkins County,H1"
1882,"NY,36,111,Ulster County,H1"
1883,"NY,36,113,Warren County,H1"
1884,"NY,36,115,Washington County,H1"
1885,"NY,36,117,Wayne County,H1"
1886,"NY,36,119,Westchester County,H1"
1887,"NY,36,121,Wyoming County,H1"
1888,"NY,36,123,Yates County,H1"
1889,"NC,37,001,Alamance County,H1"
1890,"NC,37,003,Alexander County,H1"
1891,"NC,37,005,Alleghany County,H1"
1892,"NC,37,007,Anson County,H1"
1893,"NC,37,009,Ashe County,H1"
1894,"NC,37,011,Avery County,H1"
1895,"NC,37,013,Beaufort County,H1"
1896,"NC,37,015,Bertie County,H1"
1897,"NC,37,017,Bladen County,H1"
1898,"NC,37,019,Brunswick County,H1"
1899,"NC,37,021,Buncombe County,H1"
1900,"NC,37,023,Burke County,H1"
1901,"NC,37,025,Cabarrus County,H1"
1902,"NC,37,027,Caldwell County,H1"
1903,"NC,37,029,Camden County,H1"
1904,"NC,37,031,Carteret County,H1"
1905,"NC,37,033,Caswell County,H1"
1906,"NC,37,035,Catawba County,H1"
1907,"NC,37,037,Chatham County,H1"
1908,"NC,37,039,Cherokee County,H1"
1909,"NC,37,041,Chowan County,H1"
1910,"NC,37,043,Clay County,H1"
1911,"NC,37,045,Cleveland County,H1"
1912,"NC,37,047,Columbus County,H1"
1913,"NC,37,049,Craven County,H1"
1914,"NC,37,051,Cumberland County,H1"
1915,"NC,37,053,Currituck County,H1"
1916,"NC,37,055,Dare County,H1"
1917,"NC,37,057,Davidson County,H1"
1918,"NC,37,059,Davie County,H1"
1919,"NC,37,061,Duplin County,H1"
1920,"NC,37,063,Durham County,H1"
1921,"NC,37,065,Edgecombe County,H1"
1922,"NC,37,067,Forsyth County,H1"
1923,"NC,37,069,Franklin County,H1"
1924,"NC,37,071,Gaston County,H1"
1925,"NC,37,073,Gates County,H1"
1926,"NC,37,075,Graham County,H1"
1927,"NC,37,077,Granville County,H1"
1928,"NC,37,079,Greene County,H1"
1929,"NC,37,081,Guilford County,H1"
1930,"NC,37,083,Halifax County,H1"
1931,"NC,37,085,Harnett County,H1"
1932,"NC,37,087,Haywood County,H1"
1933,"NC,37,089,Henderson County,H1"
1934,"NC,37,091,Hertford County,H1"
1935,"NC,37,093,Hoke County,H1"
1936,"NC,37,095,Hyde County,H1"
1937,"NC,37,097,Iredell County,H1"
1938,"NC,37,099,Jackson County,H1"
1939,"NC,37,101,Johnston County,H1"
1940,"NC,37,103,Jones County,H1"
1941,"NC,37,105,Lee County,H1"
1942,"NC,37,107,Lenoir County,H1"
1943,"NC,37,109,Lincoln County,H1"
1944,"NC,37,111,McDowell County,H1"
1945,"NC,37,113,Macon County,H1"
1946,"NC,37,115,Madison County,H1"
1947,"NC,37,117,Martin County,H1"
1948,"NC,37,119,Mecklenburg County,H1"
1949,"NC,37,121,Mitchell County,H1"
1950,"NC,37,123,Montgomery County,H1"
1951,"NC,37,125,Moore County,H1"
1952,"NC,37,127,Nash County,H1"
1953,"NC,37,129,New Hanover County,H1"
1954,"NC,37,131,Northampton County,H1"
1955,"NC,37,133,Onslow County,H1"
1956,"NC,37,135,Orange County,H1"
1957,"NC,37,137,Pamlico County,H1"
1958,"NC,37,139,Pasquotank County,H1"
1959,"NC,37,141,Pender County,H1"
1960,"NC,37,143,Perquimans County,H1"
1961,"NC,37,145,Person County,H1"
1962,"NC,37,147,Pitt County,H1"
1963,"NC,37,149,Polk County,H1"
1964,"NC,37,151,Randolph County,H1"
1965,"NC,37,153,Richmond County,H1"
1966,"NC,37,155,Robeson County,H1"
1967,"NC,37,157,Rockingham County,H1"
1968,"NC,37,159,Rowan County,H1"
1969,"NC,37,161,Rutherford County,H1"
1970,"NC,37,163,Sampson County,H1"
1971,"NC,37,165,Scotland County,H1"
1972,"NC,37,167,Stanly County,H1"
1973,"NC,37,169,Stokes County,H1"
1974,"NC,37,171,Surry County,H1"
1975,"NC,37,173,Swain County,H1"
1976,"NC,37,175,Transylvania County,H1"
1977,"NC,37,177,Tyrrell County,H1"
1978,"NC,37,179,Union County,H1"
1979,"NC,37,181,Vance County,H1"
1980,"NC,37,183,Wake County,H1"
1981,"NC,37,185,Warren County,H1"
1982,"NC,37,187,Washington County,H1"
1983,"NC,37,189,Watauga County,H1"
1984,"NC,37,191,Wayne County,H1"
1985,"NC,37,193,Wilkes County,H1"
1986,"NC,37,195,Wilson County,H1"
1987,"NC,37,197,Yadkin County,H1"
1988,"NC,37,199,Yancey County,H1"
1989,"ND,38,001,Adams County,H1"
1990,"ND,38,003,Barnes County,H1"
1991,"ND,38,005,Benson County,H1"
1992,"ND,38,007,Billings County,H1"
1993,"ND,38,009,Bottineau County,H1"
1994,"ND,38,011,Bowman County,H1"
1995,"ND,38,013,Burke County,H1"
1996,"ND,38,015,Burleigh County,H1"
1997,"ND,38,017,Cass County,H1"
1998,"ND,38,019,Cavalier County,H1"
1999,"ND,38,021,Dickey County,H1"
2000,"ND,38,023,Divide County,H1"
2001,"ND,38,025,Dunn County,H1"
2002,"ND,38,027,Eddy County,H1"
2003,"ND,38,029,Emmons County,H1"
2004,"ND,38,031,Foster County,H1"
2005,"ND,38,033,Golden Valley County,H1"
2006,"ND,38,035,Grand Forks County,H1"
2007,"ND,38,037,Grant County,H1"
2008,"ND,38,039,Griggs County,H1"
2009,"ND,38,041,Hettinger County,H1"
2010,"ND,38,043,Kidder County,H1"
2011,"ND,38,045,LaMoure County,H1"
2012,"ND,38,047,Logan County,H1"
2013,"ND,38,049,McHenry County,H1"
2014,"ND,38,051,McIntosh County,H1"
2015,"ND,38,053,McKenzie County,H1"
2016,"ND,38,055,McLean County,H1"
