,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
45,Noble,Mendocino,"1,014",24-Sep-06,30-Sep-06,
46,Phelps,Fresno,"1,600",25-Oct-06,25-Oct-06,
47,Esperanza,Riverside,"40,200",26-Oct-06,31-Oct-06,
48,Shekell,Ventura,"13,600",3-Dec-06,5-Dec-06,
49,Westside,Kern,"4,025",7-Dec-06,9-Dec-06,
0,241,Orange,"2,036",11-Mar-07,13-Mar-07,
1,Sierra,Riverside,"1,044",11-Mar-07,12-Mar-07,
2,Las Flores,San Bernardino,"4,100",31-Mar-07,1-Apr-07,
3,Golden,Inyo,"1,988",14-Apr-07,15-Apr-07,
4,James,Kern,"1,350",29-Apr-07,5-May-07,
5,Island,Los Angeles,"4,750",10-May-07,15-May-07,
6,Gorman,Los Angeles,"2,050",19-May-07,22-May-07,
7,Shannon,Tulare,"2,140",3-Jun-07,4-Jun-07,
8,Goldledge,Tulare,"4,196",3-Jun-07,28-Jun-07,
9,Inkopah,Imperial,"1,500",5-Jun-07,6-Jun-07,
10,Angora,El Dorado,"3,100",24-Jun-07,2-Jul-07,
11,White,Kern,"12,454",24-Jun-07,3-Jul-07,
12,Mission,Monterey,"2,300",28-Jun-07,28-Jun-07,
13,Zaca,Santa Barbara,"240,207",4-Jul-07,4-Sep-07,
14,Antelope Complex,Plumas,"22,902",5-Jul-07,13-Jul-07,
15,Inyo Complex,Inyo,"35,176",6-Jul-07,16-Jul-07,
16,Rock 2,Tulare,"1,005",6-Jul-07,7-Jul-07,
17,Fletcher,Modoc,"8,121",10-Jul-07,19-Jul-07,
18,Elk Complex,Siskiyou,"17,684",10-Jul-07,15-Sep-07,
19,China-Back Complex,Siskiyou,"2,906",13-Jul-07,21-Jul-07,
20,Bangor,Butte,"1,057",7-Aug-07,7-Aug-07,
21,Tar,Kings,"5,644",10-Aug-07,19-Aug-07,
22,Grouse,Tulare,"1,022",27-Aug-07,8-Sep-07,
23,Wallow,Trinity,"1,440",29-Aug-07,3-Sep-07,
24,North,Los Angeles,"2,200",2-Sep-07,8-Sep-07,
25,Lick,Santa Clara,"47,760",3-Sep-07,11-Sep-07,
26,Moonlight,Plumas,"64,997",3-Sep-07,15-Sep-07,
27,Pine,San Diego,"2,170",12-Sep-07,16-Sep-07,
28,Butler 2,San Bernardino,"14,039",14-Sep-07,1-Oct-07,
29,Ranch,Los Angeles,"58,401",20-Oct-07,30-Oct-07,
30,Canyon,Los Angeles,"4,521",21-Oct-07,27-Oct-07,
31,Sedgewick Fire,Santa Barbara,710,21-Oct-07,30-Oct-07,
32,Harris,San Diego,"90,440",21-Oct-07,5-Nov-07,
33,Witch,San Diego,"197,990",21-Oct-07,6-Nov-07,
