incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
5514,2005-06-05,100,Five,Fresno County,CA,06019
1330,2005-06-04,100,Sperry,Stanislaus County,CA,06099
1876,2005-06-19,100,Pioneer,San Bernardino County,CA,06071
3082,2005-06-25,100,Paradise,San Bernardino County,CA,06071
2000,2005-06-24,100,Soboba,Riverside County,CA,06065
71000,2005-06-27,100,Hackberry,San Bernardino County,CA,06071
1056,2005-07-02,100,Bailey,Madera County,CA,06039
1200,2005-07-06,100,Tovey,Los Angeles County,CA,06037
2600,2005-07-07,100,Millwood,Tulare County,CA,06107
1150,2005-07-09,100,Nine,Tulare County,CA,06107
6744,2005-07-20,100,Tesla,Alameda County,CA,06001
1282,2005-07-19,100,China Lake,Kern County,CA,06029
3500,2005-07-23,100,Kingston,San Bernardino County,CA,06071
3200,2005-08-01,100,Cowpie,Merced County,CA,06047
1500,2005-08-03,100,Halloran,San Bernardino County,CA,06071
1700,2005-08-09,100,Deer,Lake County,CA,06033
2700,2005-08-11,100,ThirySix,Tehama County,CA,06103
24800,2005-08-22,100,Barrel,Modoc County,CA,06049
2270,2005-08-24,100,Harding,Sierra County,CA,06091
1830,2005-08-29,100,Manton,Tehama County,CA,06103
5493,2005-08-30,100,Blaisdell,Riverside County,CA,06065
2386,2005-09-05,100,Gorman,Kern County,CA,06029
1600,2005-09-19,100,Pine,Tulare County,CA,06107
24175,2005-10-07,100,Topanga,San Bernardino County,CA,06071
1100,2005-09-28,100,San Timoteo,Riverside County,CA,06065
1094,2005-10-04,100,Harvard,Los Angeles County,CA,06037
6000,2005-10-05,100,River,Madera County,CA,06039
4103,2005-10-08,100,Border 50,San Diego County,CA,06073
6500,2005-10-07,100,Woodhouse,Riverside County,CA,06065
3891,2005-11-19,100,School,Ventura County,CA,06111
10584,2006-02-06,100,Sierra,Riverside County,CA,06065
3019,2006-02-27,100,Hotlum,Siskiyou County,CA,06093
1964,2006-05-14,100,Torch,Fresno County,CA,06019
1418,2006-05-26,100,Stuhr,Stanislaus County,CA,06099
1700,2006-05-27,100,Alpaugh,Tulare County,CA,06107
14988,2006-06-26,100,Perkins,Santa Barbara County,CA,06083
