Name,County,Acres,Start Date,Contained Date,active,Percent contained,Difference,Year
San Mateo,San Diego,1457,2014-05-16,2014-05-20,False,100,4,2014
Shirley,Kern,2545,2014-06-13,2014-06-22,False,100,9,2014
Stony,Monterey,4840,2014-06-19,2014-06-22,False,100,3,2014
Butts,Napa,4300,2014-07-01,2014-07-09,False,100,8,2014
Modoc July Complex,Modoc,2566,2014-07-01,2014-07-07,False,100,6,2014
Monticello,Yolo,6488,2014-07-04,2014-07-12,False,100,8,2014
Bully,Shasta,12661,2014-07-11,2014-07-28,False,100,17,2014
Nicolls,Kern,1680,2014-07-11,2014-07-19,False,100,8,2014
Dark Hole,Mariposa,1077,2014-07-16,2014-08-20,False,100,35,2014
Sand,El Dorado,4240,2014-07-25,2014-09-02,False,100,39,2014
Kelley,Merced,1000,2014-07-26,2014-07-29,False,100,3,2014
El Portal,Mariposa,4689,2014-07-26,2014-08-04,False,100,9,2014
French,Madera,13838,2014-07-28,2014-08-18,False,100,21,2014
Day,Modoc,13153,2014-07-30,2014-08-13,False,100,14,2014
Lodge Complex,Mendocino,12535,2014-07-30,2014-08-09,False,100,10,2014
Bald,Shasta,39736,2014-07-30,2014-08-16,False,100,17,2014
Coffee Complex,Trinity,6178,2014-07-30,2014-08-16,False,100,17,2014
KNF Beaver,Siskiyou,32496,2014-07-30,2014-08-30,False,100,31,2014
Little Deer,Siskiyou,5503,2014-07-31,2014-08-11,False,100,11,2014
Eiler,Shasta,32416,2014-07-31,2014-08-24,False,100,24,2014
July Complex,Siskiyou,50042,2014-08-03,2014-09-25,False,100,53,2014
Happy Camp Complex,Siskiyou,134056,2014-08-14,2014-10-31,False,100,78,2014
Meadow,Mariposa,4772,2014-08-15,2014-09-29,False,100,45,2014
Way,Kern,4045,2014-08-18,2014-08-28,False,100,10,2014
Gulch,Shasta,1375,2014-09-10,2014-09-16,False,100,6,2014
King,El Dorado,97717,2014-09-13,2014-10-09,False,100,26,2014
Courtney,Madera,320,2014-09-14,2014-09-21,False,100,7,2014
Boles,Siskiyou,516,2014-09-15,2014-10-11,False,100,26,2014
Dog Rock,Mariposa,311,2014-10-07,2014-10-12,False,100,5,2014
Round,Inyo,7000,2015-02-06,2015-02-12,False,100,6,2015
Highway,Riverside,1049,2015-04-18,2015-04-24,False,100,6,2015
Lake,San Bernardino,31359,2015-06-17,2015-08-01,False,100,45,2015
Park Hill,San Luis Obispo,1791,2015-06-20,2015-06-24,False,100,4,2015
North,San Bernardino,4250,2015-07-17,2015-07-21,False,100,4,2015
Wragg,Napa,8051,2015-07-22,2015-08-06,False,100,15,2015
Rocky,Lake,69438,2015-07-29,2015-08-14,False,100,16,2015
Fork Complex,Shasta,36503,2015-07-30,2015-11-03,False,100,96,2015
River Complex,Trinity,77081,2015-07-30,2015-10-29,False,100,91,2015
Frog,Lassen,4863,2015-07-30,2015-08-20,False,100,21,2015
Humboldt Lightning,Humboldt,4883,2015-07-30,2015-08-19,False,100,20,2015
Mad River Complex,Humboldt,73137,2015-07-30,2015-09-13,False,100,45,2015
Rough,Fresno,151623,2015-07-31,2015-11-05,False,100,97,2015
Dodge,Lassen,10570,2015-08-03,2015-08-17,False,100,14,2015
Gasquet,Del Norte,30361,2015-08-03,2015-10-15,False,100,73,2015
Jerusalem,Lake and Napa,25118,2015-08-09,2015-08-25,False,100,16,2015
Cabin,Glendora,1723,2015-08-14,2015-11-20,False,100,98,2015
Cuesta,San Luis Obispo,2446,2015-08-16,2015-08-28,False,100,12,2015
Tesla,Alameda,2700,2015-08-19,2015-08-22,False,100,3,2015
Butte,Amador,70868,2015-09-09,2015-10-01,False,100,22,2015
Valley,Lake,76067,2015-09-12,2015-10-15,False,100,33,2015
Tassajara,Monterey,1086,2015-09-19,2015-09-27,False,100,8,2015
Solimar,Ventura,1388,2015-12-25,2015-12-29,False,100,4,2015
Roberts,San Luis Obispo,3712,2016-05-18,2016-05-20,False,100,2,2016
Metz,Monterey,3876,2016-05-22,2016-05-25,False,100,3,2016
Coleman,Monterey,2520,2016-06-04,2016-06-17,False,100,13,2016
Pony,Siskiyou,2860,2016-06-07,2016-06-30,False,100,23,2016
Sherpa,Santa Barbara,7474,2016-06-15,2016-07-12,False,100,27,2016
Border,San Diego,7609,2016-06-19,2016-06-30,False,100,11,2016
Pine,Ventura,2304,2016-06-19,2016-07-17,False,100,28,2016
San Gabriel Complex,Los Angeles,5399,2016-06-20,2016-07-23,False,100,33,2016
Erskine,Kern,48019,2016-06-23,2016-07-12,False,100,19,2016
Trailhead,Placer,5646,2016-06-28,2016-07-18,False,100,20,2016
Deer,Kern,1785,2016-07-01,2016-07-11,False,100,10,2016
Curry,Fresno,2944,2016-07-01,2016-07-05,False,100,4,2016
Sage,Los Angeles,1109,2016-07-09,2016-07-16,False,100,7,2016
Roblar,San Diego,1245,2016-07-21,2016-07-30,False,100,9,2016
Sand,Los Angeles,41432,2016-07-22,2016-08-03,False,100,12,2016
Soberanes,Monterey,132100,2016-07-22,2016-10-12,False,100,82,2016
Goose,Fresno,2241,2016-07-30,2016-08-09,False,100,10,2016
Cold,Yolo,5731,2016-08-02,2016-08-12,False,100,10,2016
Pilot,San Bernardino,8110,2016-08-07,2016-08-16,False,100,9,2016
Mineral,Fresno,7050,2016-08-09,2016-08-18,False,100,9,2016
Chimney,San Luis Obispo,46344,2016-08-13,2016-09-06,False,100,24,2016
Clayton,Lake,3929,2016-08-13,2016-08-26,False,100,13,2016
Blue Cut,San Bernardino,36274,2016-08-16,2016-08-23,False,100,7,2016
Cedar,Kern,29322,2016-08-16,2016-09-30,False,100,45,2016
Rey,Santa Barbara,32606,2016-08-18,2016-09-16,False,100,29,2016
Gap,Siskiyou,33867,2016-08-27,2016-09-17,False,100,21,2016
Bogart,Riverside,1470,2016-08-30,2016-09-02,False,100,3,2016
Willard,Lassen,2575,2016-09-11,2016-09-22,False,100,11,2016
Owens River,Mono,5443,2016-09-17,2016-10-15,False,100,28,2016
Canyon,Santa Barbara,12518,2016-09-17,2016-09-24,False,100,7,2016
Sawmill,Sonoma,1547,2016-09-25,2016-09-29,False,100,4,2016
Marshes,Tuolumne,1080,2016-09-26,2016-10-04,False,100,8,2016
Loma,Santa Clara,4474,2016-09-26,2016-10-12,False,100,16,2016
Jayne,Fresno,5738,2017-04-20,2017-04-21,False,100,1,2017
Opera,Riverside,1350,2017-04-30,2017-05-02,False,100,2,2017
Elm,Fresno,10345,2017-05-18,2017-05-21,False,100,3,2017
Gate,San Diego,2056,2017-05-20,2017-05-23,False,100,3,2017
Oakwood,Madera,1431,2017-06-10,2017-06-13,False,100,3,2017
Highway,Kern,1522,2017-06-18,2017-06-28,False,100,10,2017
Holcomb,San Bernardino,1503,2017-06-19,2017-06-29,False,100,10,2017
Schaeffer,Tulare,16031,2017-06-24,2017-08-10,False,100,47,2017
Salmon August Complex,Siskiyou,65888,2017-06-25,2017-12-08,False,100,166,2017
Manzanita,Riverside,6309,2017-06-26,2017-06-30,False,100,4,2017
Hill,San Luis Obispo,1598,2017-06-26,2017-06-30,False,100,4,2017
Winters,Yolo,2269,2017-07-06,2017-07-12,False,100,6,2017
Alamo,San Luis Obispo,28687,2017-07-06,2017-07-19,False,100,13,2017
Wall,Butte,6033,2017-07-07,2017-07-17,False,100,10,2017
Whittier,Santa Barbara,18430,2017-07-08,2017-10-05,False,100,89,2017
Parkfield,Monterey,1816,2017-07-08,2017-07-11,False,100,3,2017
Garza,Fresno,48889,2017-07-09,2017-07-21,False,100,12,2017
Long Valley,Lassen,83733,2017-07-11,2017-07-21,False,100,10,2017
Detwiler,Mariposa,81826,2017-07-16,2017-08-24,False,100,39,2017
Modoc July Complex,Modoc,83120,2017-07-24,2017-08-16,False,100,23,2017
Orleans Complex,Siskiyou,27276,2017-07-25,2017-09-26,False,100,63,2017
Empire,Mariposa,6370,2017-08-01,2017-11-27,False,100,118,2017
Parker 2,Modoc,7697,2017-08-03,2017-08-29,False,100,26,2017
Young,Siskiyou,2500,2017-08-07,2017-08-28,False,100,21,2017
South Fork,Mariposa,7000,2017-08-13,2017-11-27,False,100,106,2017
Blaine,Riverside,1044,2017-08-13,2017-08-16,False,100,3,2017
Eclipse Complex,Siskiyou,78698,2017-08-15,2017-11-29,False,100,106,2017
Pier,Tulare,36556,2017-08-29,2017-11-29,False,100,92,2017
Railroad,Madera,12407,2017-08-29,2017-10-24,False,100,56,2017
Ponderosa,Butte,4016,2017-08-29,2017-09-09,False,100,11,2017
Mud,Lassen,6042,2017-08-29,2017-09-01,False,100,3,2017
Slinkard,Mono,8925,2017-08-29,2017-09-12,False,100,14,2017
Helena,Trinity,21846,2017-08-30,2017-11-15,False,100,77,2017
La Tuna,Los Angeles,7194,2017-09-01,2017-09-09,False,100,8,2017
Palmer,Riverside,3874,2017-09-02,2017-09-06,False,100,4,2017
